Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
S36,UR,Ignored Visual Field,Active,Pre,Left,0.64,278.7870023260184
S37,Bi,Control,Active,Pre,Right,0.7931034482758621,299.9370344930744
S37,Bi,Control,Active,Pre,Left,0.5185185185185185,290.92190943515527
S38,UL,Ignored Visual Field,Active,Pre,Right,0.74,323.4213961859998
S38,UL,Attended Visual Field,Active,Pre,Left,0.5208333333333334,268.33837499999987
S39,Bi,Control,Active,Pre,Left,0.8214285714285714,287.79602685534286
S39,Bi,Control,Active,Pre,Right,0.5272727272727272,307.75229183998783
S1,Bi,Control,Active,Post_1,Left,0.7777777777777778,316.5435997944463
S1,Bi,Control,Active,Post_1,Right,0.673469387755102,272.16524828163307
S2,UR,Ignored Visual Field,Active,Post_1,Left,0.7666666666666667,285.6878871250083
S2,UR,Attended Visual Field,Active,Post_1,Right,0.6595744680851063,307.7383474446858
S3,UR,Attended Visual Field,Active,Post_1,Right,0.7924528301886793,276.2827506301884
S3,UR,Ignored Visual Field,Active,Post_1,Left,0.7966101694915254,318.78639077627116
S4,UR,Attended Visual Field,Active,Post_1,Right,0.7222222222222222,302.99835912963266
S4,UR,Ignored Visual Field,Active,Post_1,Left,0.6545454545454545,271.8063791854455
S5,UR,Ignored Visual Field,Active,Post_1,Left,0.8163265306122449,326.9125186285938
S5,UR,Attended Visual Field,Active,Post_1,Right,0.6346153846153846,266.5542969269423
S6,UL,Attended Visual Field,Active,Post_1,Left,0.6181818181818182,332.8355826654461
S6,UL,Ignored Visual Field,Active,Post_1,Right,0.6896551724137931,267.57191841206054
S7,UL,Attended Visual Field,Active,Post_1,Left,0.8545454545454545,302.850319676406
S7,UL,Ignored Visual Field,Active,Post_1,Right,0.847457627118644,296.94572758139503
S8,UR,Ignored Visual Field,Active,Post_1,Left,0.92,300.8764937319979
S8,UR,Attended Visual Field,Active,Post_1,Right,0.7719298245614035,298.23581949824296
S9,UR,Attended Visual Field,Active,Post_1,Right,0.5892857142857143,294.5813750874955
S9,UR,Ignored Visual Field,Active,Post_1,Left,0.5087719298245614,301.03011805964366
S10,UL,Ignored Visual Field,Active,Post_1,Right,0.7142857142857143,290.05687023333303
